Country Name,Country Code,Year,Value
Saudi Arabia,SAU,2016,646438380560.0
Senegal,SEN,2016,14683697630.9
Serbia,SRB,2016,38299854688.1277
Seychelles,SYC,2016,1427323889.0961
Sierra Leone,SLE,2016,3736588553.56394
Singapore,SGP,2016,296975678610.206
Slovak Republic,SVK,2016,89768598023.3903
Slovenia,SVN,2016,44708598648.8562
Solomon Islands,SLB,2016,1202125000.0
Somalia,SOM,2016,6217000000.0
South Africa,ZAF,2016,295456189492.005
Spain,ESP,2016,1237255019653.86
Sri Lanka,LKA,2016,81321876307.2556
St. Kitts and Nevis,KNA,2016,909854619.5185189
St. Lucia,LCA,2016,1667078703.7037
St. Vincent and the Grenadines,VCT,2016,768224226.666667
Sudan,SDN,2016,95584380032.2061
Suriname,SUR,2016,3278425328.32418
Swaziland,SWZ,2016,3720649374.5751204
Sweden,SWE,2016,514459972806.171
Switzerland,CHE,2016,668851296244.236
Tajikistan,TJK,2016,6951657158.900929
Tanzania,TZA,2016,47340071107.342995
Thailand,THA,2016,407026127310.43396
Timor-Leste,TLS,2016,1782974000.0
Togo,TGO,2016,4399995986.564771
Tonga,TON,2016,401562006.229967
Trinidad and Tobago,TTO,2016,21894706041.2353
Tunisia,TUN,2016,42062549394.7859
Turkey,TUR,2016,863711710426.514
Turkmenistan,TKM,2016,36179885714.2857
Tuvalu,TUV,2016,34218878.4390841
Uganda,UGA,2016,24078931933.4578
Ukraine,UKR,2016,93270479388.5243
United Arab Emirates,ARE,2016,348743265704.56104
United Kingdom,GBR,2016,2647898654635.24
United States,USA,2016,18624475000000.0
Uruguay,URY,2016,52419720713.7316
Uzbekistan,UZB,2016,67220335569.6147
Vanuatu,VUT,2016,773502895.9276019
Vietnam,VNM,2016,205276172134.901
West Bank and Gaza,PSE,2016,13397100000.0
"Yemen, Rep.",YEM,2016,27317605346.0714
Zambia,ZMB,2016,21063989682.5243
Zimbabwe,ZWE,2016,16619960401.9038
